date,close,volume,open,high,low
2018/09/25,71.44,10111930,70.77,71.68,70.32
2018/09/24,71.44,10088550,70.79,71.68,70.32
2018/09/21,69.05,9182785,68.9,69.25,68.88
2018/09/20,68.79,4752780,68.63,69.01,68.4
2018/09/19,68.5,3376509,68.52,68.96,68.39
2018/09/18,68.41,4700343,67.76,68.57,67.76
2018/09/17,67.67,4255490,68.42,68.42,67.51
2018/09/14,68.42,4163500,68.51,68.82,68.36
2018/09/13,68.5,6023116,67.23,68.54,67.15
2018/09/12,66.97,3222286,66.6,67.12,66.6
2018/09/11,66.6,3185055,66.38,66.82,66.115
2018/09/10,66.55,3449325,66.45,66.93,66.44
2018/09/07,66.21,4060677,65.79,66.46,65.69
2018/09/06,65.83,7269185,66.01,66.2,65.22
2018/09/05,66,6545090,66.96,66.96,65.54
2018/09/04,67.11,4898932,66.74,67.11,66.565
2018/08/31,66.84,5893874,66.96,67.2369,66.59
2018/08/30,67.02,4136486,66.94,67.305,66.751
2018/08/29,67.13,4445959,66.72,67.355,66.63
2018/08/28,66.79,4089337,67.03,67.11,66.67
2018/08/27,66.84,3446999,66.45,66.89,66.33
2018/08/24,66.1,3831212,65.9,66.26,65.79
2018/08/23,65.83,4427911,65.67,66.17,65.64
2018/08/22,65.67,5203299,64.51,65.815,64.4769
2018/08/21,64.75,4032207,64.91,65.07,64.5
2018/08/20,64.64,5075440,65,65.13,64.375
2018/08/17,64.72,4762957,64.24,64.915,64.03
2018/08/16,64.16,3692688,63.79,64.34,63.6
2018/08/15,63.47,3692407,63.45,63.56,63.07
2018/08/14,63.63,3246367,63.45,63.92,63.385
2018/08/13,63.43,4377174,64.02,64.32,63.36
2018/08/10,64.03,3839755,64.44,64.6,63.87
2018/08/09,64.64,2431687,64.79,65.065,64.58
2018/08/08,64.84,4103091,64.74,65.31,64.555
2018/08/07,64.74,3325620,65.18,65.32,64.73
2018/08/06,65.24,3585735,65.09,65.495,64.96
2018/08/03,65.23,3945024,64.77,65.24,64.44
2018/08/02,64.58,4706162,64.5,64.78,63.91
2018/08/01,64.78,4159589,65.35,65.75,64.71
2018/07/31,65.54,5381691,65.37,65.77,65.26
2018/07/30,65.17,5088347,64.97,65.51,64.97
2018/07/27,65.26,4293076,65.51,65.8,64.96
2018/07/26,65.66,5517000,65.36,65.9,64.87
2018/07/25,65.23,5798924,64.16,65.36,64.12
2018/07/24,64.4,6378138,63.55,64.61,63.42
2018/07/23,63.2,4779174,63.26,63.29,62.87
2018/07/20,63.32,5763742,63.61,64.04,63.28
2018/07/19,63.78,6760520,64.68,64.97,63.51
