"date","close","volume","open","high","low"
"16:00","112.77","9,232,253","112.27","113.14","111.70"
"2018/09/24","112.7700","9105845.0000","112.2700","113.1400","111.7000"
"2018/09/21","110.4000","25571560.0000","111.9500","111.9800","110.4000"
"2018/09/20","111.6200","7121048.0000","110.5800","111.9492","109.9400"
"2018/09/19","109.7900","5964582.0000","109.6300","110.1825","109.4800"
"2018/09/18","109.5300","4936921.0000","108.8900","109.7500","108.2300"
"2018/09/17","109.3600","5592132.0000","109.5800","109.8783","108.6115"
"2018/09/14","109.2600","5966640.0000","110.9200","111.2500","108.8800"
"2018/09/13","110.6700","5094676.0000","109.5500","110.7200","109.3700"
"2018/09/12","109.4600","5233859.0000","109.2500","110.2539","109.1800"
"2018/09/11","109.6000","5488384.0000","110.5000","110.6050","109.5100"
"2018/09/10","110.6800","4636306.0000","111.4400","111.9075","110.3700"
"2018/09/07","110.9700","4754708.0000","110.0800","111.3500","110.0100"
"2018/09/06","110.2600","5266386.0000","110.0000","110.4100","109.3600"
"2018/09/05","109.8700","6388128.0000","110.5800","110.8200","109.7000"
"2018/09/04","110.8500","6390091.0000","111.8000","112.0000","110.6500"
"2018/08/31","112.0200","4636917.0000","111.9000","112.2800","111.5600"
"2018/08/30","111.9200","3481633.0000","112.0700","112.4150","111.5900"
"2018/08/29","112.4500","4000791.0000","112.5800","112.7200","112.0200"
"2018/08/28","112.5800","3131570.0000","112.5700","112.7896","112.2000"
"2018/08/27","112.3300","4767379.0000","112.4900","112.8900","112.0700"
"2018/08/24","111.9300","5048870.0000","111.6300","112.7000","111.4400"
"2018/08/23","112.0000","4256888.0000","111.9400","112.1400","111.5331"
"2018/08/22","111.9400","3212261.0000","112.4400","112.7450","111.9400"
"2018/08/21","112.3900","4726622.0000","112.2500","113.0000","112.0000"
"2018/08/20","111.9900","5163778.0000","112.9300","113.0000","111.9100"
"2018/08/17","112.4800","4763966.0000","112.5100","112.8600","111.8900"
"2018/08/16","112.4800","5081565.0000","113.3000","113.3300","112.3950"
"2018/08/15","112.8500","5182906.0000","112.1800","113.1200","111.4700"
"2018/08/14","112.7500","4324373.0000","112.3800","113.1850","111.9450"
"2018/08/13","112.1200","6080497.0000","112.6600","112.8400","111.7200"
"2018/08/10","112.6800","5737656.0000","113.5800","113.8000","112.4000"
