"date","close","volume","open","high","low"
"16:00","143.60","1,378,908","142.95","144.46","142.46"
"2018/09/24","143.6000","1369944.0000","142.8200","144.4600","142.4600"
"2018/09/21","143.5400","2542403.0000","143.8700","145.5500","143.0000"
"2018/09/20","142.5900","1586162.0000","141.4300","142.8300","140.3700"
"2018/09/19","139.6600","1200814.0000","140.0000","140.6900","138.8300"
"2018/09/18","140.3000","1468861.0000","140.4000","141.4000","139.3500"
"2018/09/17","139.8900","1351398.0000","140.9100","140.9100","139.0200"
"2018/09/14","140.9300","1512568.0000","140.5900","141.8000","139.9350"
"2018/09/13","140.1300","1107007.0000","139.8900","140.6556","139.0800"
"2018/09/12","139.7300","1715621.0000","138.7100","140.2700","138.0400"
"2018/09/11","138.1700","2047143.0000","137.8500","138.3750","136.4750"
"2018/09/10","138.5500","1392856.0000","139.4400","140.3900","138.5000"
"2018/09/07","138.7700","1590632.0000","137.9200","139.1900","136.5310"
"2018/09/06","138.6800","1662800.0000","137.2100","139.6600","137.0300"
"2018/09/05","137.7500","2124659.0000","137.3800","138.5900","136.1800"
"2018/09/04","138.1500","2388925.0000","138.8800","139.9500","137.9000"
"2018/08/31","140.1200","2844249.0000","139.3400","140.6100","138.8000"
"2018/08/30","139.5000","1808795.0000","139.8500","140.5300","139.1600"
"2018/08/29","140.3700","2531830.0000","140.5100","142.1200","140.1170"
"2018/08/28","140.0900","3226620.0000","142.9200","146.0000","139.5400"
"2018/08/27","138.2500","1885630.0000","136.2200","139.3000","136.0000"
"2018/08/24","135.5900","1983925.0000","133.3700","136.2400","133.2900"
"2018/08/23","133.1300","3075609.0000","134.2200","134.3700","132.1000"
"2018/08/22","135.0700","2838249.0000","136.5100","136.6000","133.7735"
"2018/08/21","136.6300","5280665.0000","141.4700","142.3900","134.8900"
"2018/08/20","140.5600","6240102.0000","141.1100","144.9800","139.1800"
"2018/08/17","135.9400","4381354.0000","134.4000","136.2200","133.6300"
"2018/08/16","133.5700","2964532.0000","134.3300","138.9800","132.8405"
"2018/08/15","133.5300","1939549.0000","132.3900","133.6300","131.3500"
"2018/08/14","133.0500","1935351.0000","132.7700","133.4500","131.3500"
"2018/08/13","132.3300","1870207.0000","133.3800","133.5600","131.2300"
"2018/08/10","132.7300","1948176.0000","131.2200","134.3900","128.8100"
"2018/08/09","132.1700","3055824.0000","132.5500","133.1300","130.4700"
"2018/08/08","133.1200","1547607.0000","134.9500","135.3000","133.0900"
"2018/08/07","135.3500","1139908.0000","135.8300","136.6900","134.9200"
"2018/08/06","135.0800","1309602.0000","135.3800","136.3000","134.0200"
"2018/08/03","134.9900","1750792.0000","136.7500","137.7700","133.8700"
"2018/08/02","136.7400","1641657.0000","134.4100","137.1100","133.7600"
"2018/08/01","134.4300","2198475.0000","134.3300","134.9300","133.2900"
"2018/07/31","134.9400","2714299.0000","133.6000","135.8300","132.0300"
"2018/07/30","134.0600","3804241.0000","136.8000","136.9900","133.8400"
"2018/07/27","136.7900","1980952.0000","139.9400","140.6800","136.7300"
"2018/07/26","139.7200","1981874.0000","141.9200","142.8999","139.6000"
"2018/07/25","141.5100","1388588.0000","139.5000","141.5800","139.5000"
"2018/07/24","139.5900","1778485.0000","141.9300","143.1600","139.4000"
"2018/07/23","141.3900","1004258.0000","140.9900","141.6200","140.6800"
"2018/07/20","141.0800","1106882.0000","140.5000","142.2400","140.0100"
"2018/07/19","140.4200","1315529.0000","140.4700","141.1700","139.9100"
"2018/07/18","141.2100","1858859.0000","142.7500","143.9800","139.8100"
"2018/07/17","142.2000","1354648.0000","140.6300","142.7600","140.6300"
"2018/07/16","140.9500","1157967.0000","140.4100","141.5500","139.8600"
"2018/07/13","140.4900","1414186.0000","139.1700","141.3800","138.1200"
"2018/07/12","138.8400","1913508.0000","140.0300","140.4500","138.3900"
"2018/07/11","139.4700","2643167.0000","143.7900","144.0700","138.0500"
"2018/07/10","144.6000","1766060.0000","142.8700","144.8200","142.3850"
"2018/07/09","142.6400","1372035.0000","142.3900","143.0900","141.7400"
"2018/07/06","142.4200","1721182.0000","142.8900","142.8900","140.9100"
"2018/07/05","143.5500","1845727.0000","143.5700","143.9800","141.9500"
"2018/07/03","141.9500","904033.0000","143.5000","144.2800","141.4100"
"2018/07/02","142.7400","1440774.0000","142.2300","142.9100","141.1300"
"2018/06/29","142.6900","2226035.0000","144.0000","144.5700","142.6600"
"2018/06/28","142.5500","3745036.0000","144.9900","144.9900","140.7500"
"2018/06/27","144.9900","1465152.0000","147.6200","149.6300","144.9700"
"2018/06/26","146.7400","1662244.0000","145.6900","147.3900","145.6200"
"2018/06/25","145.6200","2849125.0000","148.8900","149.5300","144.7900"
"2018/06/22","152.9300","1340563.0000","152.6300","153.6200","151.8000"
"2018/06/21","151.8700","1214911.0000","153.1500","153.1500","151.4500"
"2018/06/20","153.0700","1938456.0000","155.9500","155.9700","152.4200"
"2018/06/19","155.0000","1460321.0000","155.6700","156.2000","154.3000"
"2018/06/18","157.0500","1481622.0000","158.0300","158.8000","156.4700"
"2018/06/15","158.0300","1585368.0000","157.3500","158.1600","155.9900"
"2018/06/14","156.3700","998256.0000","155.3300","156.8900","155.2900"
"2018/06/13","155.6200","1587293.0000","157.4900","157.6300","155.1200"
"2018/06/12","157.0900","1609856.0000","155.0500","157.6400","154.4600"
"2018/06/11","155.0500","1139122.0000","153.1500","155.7000","153.1100"
"2018/06/08","153.0500","983003.0000","151.4500","153.2300","151.1900"
"2018/06/07","151.5100","1590050.0000","147.9600","151.9800","147.5900"
"2018/06/06","148.2100","1467792.0000","148.4900","148.5700","147.4100"
"2018/06/05","148.7000","1629637.0000","149.2500","149.6800","147.5800"
"2018/06/04","149.1600","1712730.0000","149.2000","150.1100","148.8400"
"2018/06/01","148.4000","1631197.0000","150.2000","150.4800","146.2900"
"2018/05/31","149.4400","2900071.0000","151.1500","151.5000","148.6800"
"2018/05/30","151.1900","1987960.0000","151.1100","151.7100","149.8900"
"2018/05/29","150.1300","1542673.0000","150.2100","151.3100","149.4100"
"2018/05/25","150.8200","1240605.0000","150.0000","151.7500","149.8100"
"2018/05/24","150.5300","1394314.0000","151.0000","151.4900","149.4400"
"2018/05/23","151.3000","1684689.0000","148.1200","151.3200","148.1100"
"2018/05/22","147.8800","1015280.0000","148.0000","148.6700","147.6300"
"2018/05/21","147.7900","1410094.0000","146.2900","147.8700","145.6050"
"2018/05/18","145.4900","1781266.0000","145.1800","145.9700","143.1900"
"2018/05/17","144.9000","2476027.0000","144.6000","145.5864","144.2100"
"2018/05/16","144.7000","2488586.0000","142.4000","145.1700","142.2800"
"2018/05/15","142.1600","2350400.0000","140.5200","142.2000","139.5100"
"2018/05/14","140.6300","1615830.0000","140.9900","141.1300","140.1900"
"2018/05/11","140.1900","2056768.0000","138.5000","140.3000","138.2800"
"2018/05/10","138.5000","1690208.0000","138.4300","139.5200","138.2300"
"2018/05/09","137.8100","2734514.0000","136.9800","137.8400","135.8000"
"2018/05/08","136.2000","2361087.0000","134.3100","137.2700","133.8200"
"2018/05/07","133.7900","2284586.0000","135.7300","135.9600","132.9600"
"2018/05/04","135.7400","2290784.0000","133.5800","136.8150","133.0600"
"2018/05/03","134.1200","4396958.0000","134.6800","135.5200","132.0300"
"2018/05/02","132.5900","7246902.0000","140.0000","140.8900","131.7600"
"2018/05/01","144.9300","3093321.0000","147.6200","147.9100","144.9300"
"2018/04/30","148.0900","3015134.0000","149.3400","150.5450","147.7000"
"2018/04/27","148.7400","1323429.0000","147.7000","149.1100","147.0600"
"2018/04/26","147.5900","1198379.0000","147.2100","148.3500","146.9500"
"2018/04/25","146.4900","1924771.0000","146.5700","146.8700","144.8100"
"2018/04/24","146.8700","2159100.0000","148.7500","149.8900","145.4500"
"2018/04/23","147.9500","1657978.0000","149.3500","149.5300","147.0000"
"2018/04/20","148.7300","2483488.0000","151.5900","152.0400","147.9400"
"2018/04/19","151.8300","1436323.0000","151.7600","152.7600","151.1300"
"2018/04/18","152.5000","1813770.0000","153.6100","153.8800","152.1100"
"2018/04/17","153.1100","1268067.0000","151.7300","153.6000","151.1100"
"2018/04/16","150.8200","2027826.0000","150.1200","152.1900","149.6400"
"2018/04/13","148.8100","2314230.0000","151.4600","151.8000","147.5800"
"2018/04/12","151.4900","1863505.0000","153.2100","153.5900","151.0600"
"2018/04/11","152.4200","948045.0000","151.8800","153.2400","151.5200"
"2018/04/10","152.3000","1806064.0000","152.0000","152.9800","151.2800"
"2018/04/09","150.3300","1659558.0000","151.1800","151.8900","150.2100"
"2018/04/06","150.2500","1707376.0000","150.7500","153.1400","148.6500"
"2018/04/05","151.4800","1361950.0000","150.9500","152.0200","149.6800"
"2018/04/04","150.5000","1880255.0000","148.0500","151.4300","148.0000"
"2018/04/03","149.3800","1816101.0000","148.5600","149.9000","147.4000"
"2018/04/02","147.6700","1693030.0000","149.4300","150.4600","146.5500"
"2018/03/29","149.7200","1663284.0000","146.8000","150.4000","146.7600"
"2018/03/28","146.0300","2171490.0000","147.2400","148.6000","145.2800"
"2018/03/27","146.6900","2135482.0000","148.6500","148.9200","145.9200"
"2018/03/26","148.2100","1720099.0000","145.1500","148.4100","145.1500"
"2018/03/23","143.8000","1668436.0000","144.6000","145.9290","143.4950"
"2018/03/22","144.5000","1594975.0000","145.8400","146.9200","144.3400"
"2018/03/21","146.1300","1234475.0000","147.8300","148.0800","146.0100"
"2018/03/20","148.2000","1613698.0000","146.0000","148.3700","145.9000"
"2018/03/19","145.8600","1784552.0000","146.3000","147.7000","145.0500"
"2018/03/16","146.2700","1617503.0000","144.1400","146.5700","144.1400"
"2018/03/15","144.1200","2242300.0000","145.3800","145.7100","143.5850"
"2018/03/14","145.0900","1638742.0000","145.7800","146.1500","143.9300"
"2018/03/13","145.7800","1126321.0000","146.0000","146.3300","144.8100"
"2018/03/12","145.3700","1255424.0000","145.0000","145.9700","144.6900"
"2018/03/09","145.0500","1813566.0000","145.2500","145.4100","144.5300"
"2018/03/08","144.3900","1921069.0000","143.6000","144.4200","142.7800"
"2018/03/07","143.5500","1624153.0000","141.5300","143.8600","141.4200"
"2018/03/06","142.6800","2027062.0000","142.1600","143.1200","141.7000"
"2018/03/05","141.6400","2062863.0000","140.1000","141.8100","139.5600"
"2018/03/02","140.6500","1676670.0000","137.4100","140.7400","137.4100"
"2018/03/01","138.5400","2291851.0000","138.2600","139.2700","137.0400"
"2018/02/28","138.4400","1600235.0000","139.8500","140.8000","138.4400"
"2018/02/27","139.7800","1861818.0000","142.5900","143.2600","139.5600"
"2018/02/26","143.2900","1119428.0000","142.6200","143.6300","142.3100"
"2018/02/23","142.3900","1062759.0000","140.6900","142.4500","140.3700"
"2018/02/22","140.1500","1181698.0000","140.1000","141.2900","139.6100"
"2018/02/21","139.8200","1965592.0000","139.3700","142.2100","139.3500"
"2018/02/20","139.3500","1395296.0000","140.7400","141.0500","139.0510"
"2018/02/16","141.0400","2082305.0000","139.2100","141.6690","139.2100"
"2018/02/15","139.6300","2256595.0000","140.0000","140.5300","137.9486"
"2018/02/14","139.7300","1687833.0000","137.1700","139.9860","136.4800"
"2018/02/13","137.5000","1736991.0000","136.3800","137.7300","136.3800"
"2018/02/12","137.0300","2273358.0000","135.4100","137.9800","135.4100"
"2018/02/09","134.7500","3029107.0000","132.1800","135.2900","131.1800"
"2018/02/08","131.4600","3056447.0000","135.1300","135.6000","131.2400"
"2018/02/07","134.7100","2832825.0000","136.8300","137.5000","133.9850"
"2018/02/06","137.2200","3540819.0000","132.8900","137.7400","131.6800"
"2018/02/05","134.3000","3603246.0000","133.4000","137.0400","132.5410"
"2018/02/02","134.3900","3277413.0000","138.7400","138.7400","133.0350"
"2018/02/01","134.5600","2095702.0000","135.1300","136.4200","133.8800"
"2018/01/31","134.9600","2009139.0000","136.9600","137.7699","134.1000"
"2018/01/30","136.6300","1314404.0000","136.0000","137.1950","135.2301"
"2018/01/29","136.6000","1372121.0000","137.7600","138.2000","136.1300"
"2018/01/26","137.7100","1580462.0000","136.8700","137.8500","135.8400"
"2018/01/25","137.1700","1114838.0000","136.9600","137.6700","136.2600"
"2018/01/24","136.2500","1620437.0000","136.8200","137.6000","135.1200"
"2018/01/23","136.7200","1317853.0000","134.7600","137.1600","134.7600"
"2018/01/22","134.8700","1388010.0000","133.7400","135.6900","133.5900"
"2018/01/19","134.4500","1374976.0000","131.5800","134.4600","131.3200"
"2018/01/18","130.9800","1131323.0000","132.2100","132.4500","130.7800"
"2018/01/17","132.0600","1611370.0000","129.2800","132.5900","129.0100"
"2018/01/16","128.6600","1606627.0000","129.2000","130.3900","128.4600"
"2018/01/12","128.5300","1465988.0000","129.1600","129.4900","128.4200"
"2018/01/11","129.0900","1250229.0000","130.5900","130.8700","128.7500"
"2018/01/10","130.3200","1599133.0000","131.3000","131.3000","128.2700"
"2018/01/09","131.7000","1249330.0000","131.3000","132.4900","131.0000"
"2018/01/08","130.9700","967924.0000","129.7800","131.2500","129.5900"
"2018/01/05","129.9900","1572037.0000","130.2200","130.6300","129.7100"
"2018/01/04","130.2300","1904289.0000","130.0000","131.5900","129.9475"
"2018/01/03","129.6200","2121226.0000","127.5500","129.7200","127.1900"
"2018/01/02","127.5900","1288852.0000","127.6400","128.0700","126.8000"
"2017/12/29","127.2400","805149.0000","127.8000","128.1300","127.2000"
"2017/12/28","127.8900","794077.0000","127.6200","128.2100","127.3800"
"2017/12/27","127.7500","613808.0000","128.6400","128.9200","127.6300"
"2017/12/26","128.8500","491450.0000","127.7800","129.0100","127.5700"
"2017/12/22","127.7500","745150.0000","128.0900","128.1150","127.2400"
"2017/12/21","127.5800","827840.0000","128.1500","128.8600","127.5000"
"2017/12/20","127.6900","1142979.0000","128.0400","128.3050","127.2700"
"2017/12/19","127.8400","1980312.0000","129.2400","129.8200","127.4100"
"2017/12/18","129.3900","1693931.0000","129.8700","130.3600","129.0900"
"2017/12/15","129.6200","2777831.0000","128.5900","129.7900","128.4400"
"2017/12/14","127.8100","1588933.0000","127.6600","128.2200","127.3400"
"2017/12/13","127.9500","2379604.0000","124.9500","128.5700","124.9000"
"2017/12/12","124.9500","1609229.0000","125.1000","125.3200","124.7200"
"2017/12/11","125.4700","1322331.0000","125.3100","125.8500","124.9500"
"2017/12/08","125.6300","1785111.0000","125.1600","125.9000","124.5700"
"2017/12/07","125.1800","1635729.0000","124.5300","125.3400","124.2500"
"2017/12/06","124.4700","1902814.0000","124.2800","124.6700","123.0100"
"2017/12/05","124.5000","2491712.0000","123.9200","124.9700","123.5000"
"2017/12/04","125.3400","1539267.0000","125.3500","125.6000","123.9900"
"2017/12/01","124.7700","1703341.0000","124.7300","125.2700","123.4200"
"2017/11/30","124.8300","2857491.0000","123.8700","125.0300","123.3400"
"2017/11/29","123.9300","2575001.0000","124.5300","124.9945","123.3500"
"2017/11/28","125.3100","2022937.0000","125.7300","125.8250","125.0800"
"2017/11/27","125.1500","1592967.0000","126.1000","126.4600","124.6700"
"2017/11/24","126.1900","870703.0000","126.0000","126.6000","126.0000"
"2017/11/22","125.8400","1560984.0000","125.8800","126.7100","125.0700"
"2017/11/21","125.5000","1889408.0000","124.8000","126.4299","124.7500"
"2017/11/20","125.1800","1635733.0000","125.1400","126.4800","124.8900"
"2017/11/17","124.6900","2215131.0000","125.4800","126.1600","124.6900"
"2017/11/16","125.6400","1444781.0000","125.1600","126.4450","124.8100"
"2017/11/15","124.6100","1387940.0000","125.3800","126.1200","124.5400"
"2017/11/14","126.0200","1431798.0000","125.7500","126.3100","125.2600"
"2017/11/13","126.3200","2032107.0000","124.8100","126.9900","124.5700"
"2017/11/10","124.6100","1856747.0000","123.8200","125.2900","123.7300"
