"date","close","volume","open","high","low"
"16:00","140.47","6,708,195","142.07","142.50","140.23"
"2018/09/24","140.4700","6677846.0000","142.1000","142.5000","140.2300"
"2018/09/21","142.8800","13099350.0000","142.1800","143.1300","141.6900"
"2018/09/20","141.9800","4995902.0000","140.8200","142.1400","140.5100"
"2018/09/19","140.4600","5049188.0000","140.7600","140.9900","140.0500"
"2018/09/18","140.5400","4563751.0000","140.2700","140.8400","139.8300"
"2018/09/17","139.9600","5144209.0000","139.3300","140.4000","139.1800"
"2018/09/14","139.4900","4322968.0000","140.0000","140.3500","139.1000"
"2018/09/13","139.8900","6111004.0000","139.8900","140.4800","139.0200"
"2018/09/12","139.3600","6744443.0000","138.9000","139.9900","138.5600"
"2018/09/11","138.5100","7834011.0000","137.6400","138.9100","137.2200"
"2018/09/10","137.2100","4794313.0000","137.5300","138.4716","137.0600"
"2018/09/07","137.3200","6374329.0000","136.7800","137.6900","135.7450"
"2018/09/06","136.8700","6556556.0000","135.5000","137.3100","135.1800"
"2018/09/05","135.8600","6174811.0000","133.4800","135.9400","133.4600"
"2018/09/04","133.7200","4406324.0000","134.6900","134.7500","133.4400"
"2018/08/31","134.6900","6130260.0000","134.6000","135.0000","133.9700"
"2018/08/30","134.9500","4821940.0000","134.7000","135.6000","134.6000"
"2018/08/29","134.8600","4648614.0000","134.3200","134.9440","133.9400"
"2018/08/28","134.3200","6037014.0000","134.7800","134.9000","133.8900"
"2018/08/27","134.9200","4325876.0000","135.5000","136.0500","134.2100"
"2018/08/24","135.9500","4809388.0000","135.1100","136.1464","134.8300"
"2018/08/23","135.1100","5055783.0000","134.6100","135.4900","134.1000"
"2018/08/22","134.6100","4688412.0000","135.5600","135.6800","134.4200"
"2018/08/21","135.3500","5826363.0000","137.0000","137.4300","135.3000"
"2018/08/20","136.8800","7875831.0000","134.9300","137.1200","134.0000"
"2018/08/17","134.4700","6698662.0000","132.4500","135.0000","132.1900"
"2018/08/16","132.4800","7788872.0000","131.0200","132.8800","130.5700"
"2018/08/15","130.4300","5346519.0000","129.7500","130.7400","128.9300"
"2018/08/14","129.5000","4514231.0000","129.6700","130.4700","129.3500"
"2018/08/13","130.2200","3760818.0000","130.7200","130.9000","129.8500"
"2018/08/10","130.7500","4321842.0000","131.1900","131.6300","130.2600"
"2018/08/09","131.2000","3849559.0000","131.5400","131.7200","130.6700"
"2018/08/08","131.1700","3721547.0000","131.4900","131.8000","130.8900"
"2018/08/07","131.4600","4626774.0000","131.8800","132.1700","131.3000"
"2018/08/06","132.0200","5840034.0000","131.6400","132.5300","131.0100"
"2018/08/03","131.9500","6498713.0000","131.1800","132.7000","130.9000"
"2018/08/02","131.2500","6563338.0000","132.8900","133.0000","131.0900"
"2018/08/01","132.6400","5770410.0000","132.3900","132.9600","132.0800"
"2018/07/31","132.5200","7556829.0000","132.2800","132.6400","131.7700"
"2018/07/30","132.1700","11012580.0000","131.7800","132.4900","131.2500"
"2018/07/27","131.5500","6620170.0000","129.9800","132.2700","129.9400"
"2018/07/26","130.2800","7638927.0000","129.9000","131.2200","129.8500"
"2018/07/25","128.6200","6522827.0000","129.1400","129.2300","127.6500"
"2018/07/24","129.3600","7158631.0000","127.2400","129.6200","127.1500"
"2018/07/23","126.6300","4425883.0000","125.7500","126.6800","125.4500"
"2018/07/20","125.8500","5835531.0000","125.3000","126.1400","125.1200"
"2018/07/19","125.9400","5903095.0000","127.5300","127.7000","125.8700"
"2018/07/18","127.8000","6991560.0000","128.8100","129.0500","127.1700"
"2018/07/17","129.1100","12849710.0000","128.5300","130.5400","127.5638"
"2018/07/16","124.6900","7311339.0000","126.0000","126.1000","124.1600"
"2018/07/13","125.9300","8236247.0000","125.3200","127.5000","125.3200"
"2018/07/12","127.7600","6167397.0000","127.7100","128.2100","127.1700"
"2018/07/11","126.2400","4815507.0000","127.4100","127.4401","126.0600"
"2018/07/10","127.3800","5069308.0000","126.3700","127.5200","126.1100"
"2018/07/09","126.0500","6702093.0000","126.2200","126.7500","125.6000"
